"","country","date","update","cases","new_cases","deaths","new_deaths","cases_per_million","new_cases_per_million","deaths_per_million","new_deaths_per_million","weeks_since_case100","weeks_since_death10"
"178","The Bahamas",2022-05-01,120,33578,95,798,9,85440.2,241.7,2030.5,22.9,101,105
"179","The Gambia",2022-05-01,120,11995,0,365,0,4962.8,0,151,0,92,90
"180","Timor-Leste",2022-05-01,120,22871,11,130,0,17352.8,8.3,98.6,0,63,50
"181","Togo",2022-05-01,120,36989,12,273,0,4467.8,1.4,33,0,104,103
"182","Tonga",2022-05-01,120,10196,643,11,0,96188.7,6066,103.8,0,11,2
"183","Trinidad and Tobago",2022-05-01,120,148335,3772,3831,18,106029.3,2696.2,2738.4,12.9,108,89
"184","Tunisia",2022-05-01,120,1040193,661,28550,17,88010.2,55.9,2415.6,1.4,109,108
"185","Turkey",2022-05-01,120,15033573,15026,98783,92,178251.7,178.2,1171.3,1.1,110,110
"186","Uganda",2022-05-01,120,164084,15,3597,0,3587.2,0.3,78.6,0,103,89
"187","UK",2022-05-01,120,22214004,107698,175552,1567,327225.1,1586.5,2586,23.1,112,111
"188","Ukraine",2022-05-01,120,5040518,0,112459,0,115254,0,2571.4,0,109,109
"189","United Arab Emirates",2022-05-01,120,898811,1675,2302,0,90880.8,169.4,232.8,0,110,108
"190","Uruguay",2022-05-01,120,897867,2092,7203,6,258453.4,602.2,2073.4,1.7,110,106
"191","USA",2022-05-01,120,81362688,376115,993733,2339,245806.5,1136.3,3002.2,7.1,112,112
"192","Uzbekistan",2022-05-01,120,238596,127,1637,0,7128.9,3.8,48.9,0,109,104
"193","Vanuatu",2022-05-01,120,7507,667,13,1,24452.8,2172.6,42.3,3.3,7,1
"194","Venezuela",2022-05-01,120,522434,258,5709,3,18372.3,9.1,200.8,0.1,109,105
"195","Vietnam",2022-05-01,120,10653526,90024,43042,29,109447.7,924.9,442.2,0.3,110,90
"196","West Bank and Gaza",2022-05-01,120,657060,184,5657,0,136887.5,38.3,1178.5,0,109,95
"197","Winter Olympics 2022",2022-05-01,120,535,0,0,0,NA,NA,NA,NA,13,0
"198","Yemen",2022-05-01,120,11818,0,2149,0,396.2,0,72.1,0,102,102
"199","Zambia",2022-05-01,120,319733,749,3976,2,17391.9,40.7,216.3,0.1,104,98
"200","Zimbabwe",2022-05-01,120,247911,387,5469,1,16679.7,26,368,0.1,100,94
